Model,Family,Line,Platform,OPN Tray,OPN PIB,OPN MPK,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock ¹ ²,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,PCI Express® Version,Thermal Solution PIB,Thermal Solution MPK,Default TDP / TDP,cTDP,Max Temps,*OS Support,System Memory Specification,System Memory Type,Memory Channels,Graphics Frequency,Graphics Model,Graphics Core Count,Supported Technologies,DisplayPort,HDMI
Ryzen™ 9 3900XT,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,,,100-100000277WOF,,20-Jul,12,24,,,3.8GHz,Up to 4.7GHz,,6MB,64MB,Yes,TSMC 7nm FinFET,,PCIe 4.0,,,105W,,,,3200MHz,DDR4,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ 7 3800XT,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,,,100-100000279WOF,,20-Jul,8,16,,,3.9GHz,Up to 4.7GHz,,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,,,105W,,,,3200MHz,DDR4,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ 5 3600XT,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,,,100-100000281BOX,,20-Jul,6,12,,,3.8GHz,Up to 4.5GHz,,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,,,95W,,,,3200MHz,DDR4,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ Threadripper™ 3990X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,100-000000163,100-100000163WOF,,2/7/2020,64,128,,,2.9GHz,Up to 4.3GHz,4096KB,32MB,256MB,Yes,TSMC 7nm FinFET,sTRX4,PCIe 4.0,,,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",3200MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ Threadripper™ 3970X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,100-000000011,100-100000011WOF,,11/25/2019,32,64,,,3.7GHz,Up to 4.5GHz,2048KB,16MB,128MB,Yes,TSMC 7nm FinFET,sTRX4,PCIe 4.0,Not included,,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",3200MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ Threadripper™ 3960X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,100-000000010,100-100000010WOF,,11/25/2019,24,48,,,3.8GHz,Up to 4.5GHz,1536KB,12MB,128MB,Yes,TSMC 7nm FinFET,sTRX4,PCIe 4.0,Not included,,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",3200MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ 9 3950X,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,100-000000051,100-100000051WOF,,,16,32,,,3.5GHz,Up to 4.7GHz,1024KB,8MB,64MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,"Cooler Not Included, Liquid Cooling Recommended",,105W,,,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 9 3900X,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,100-000000023,100-100000023BOX,100-100000023MPK,7/7/2019,12,24,,,3.8GHz,Up to 4.6GHz,768KB,6MB,64MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,Wraith Prism with RGB LED,Wraith PRISM,105W,,95°C,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 9 3900 Processor (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Desktop,,,,9/24/2019,12,24,,,3.1GHz,Up to 4.3GHz,768KB,6MB,64MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,N/A,N/A,65W,,95°C,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 7 3800X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,100-000000025,100-100000025BOX,100-100000025MPK,7/7/2019,8,16,,,3.9GHz,Up to 4.5GHz,512KB,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,Wraith Prism with RGB LED,Wraith PRISM,105W,,95°C,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 7 3700X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,100-000000071,100-100000071BOX,100-100000071MPK,7/7/2019,8,16,,,3.6GHz,Up to 4.4GHz,512KB,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,Wraith Prism with RGB LED,Wraith PRISM,65W,,95°C,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 5 3600X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,100-000000022,100-100000022BOX,100-100000022MPK,7/7/2019,6,12,,,3.8GHz,Up to 4.4GHz,384KB,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,Wraith Spire,Wraith Spire,95W,,95°C,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 5 3600,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,100-000000031,100-100000031BOX,100-100000031MPK,7/7/2019,6,12,,,3.6GHz,Up to 4.2GHz,384KB,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,Wraith Stealth,Wraith Stealth,65W,,95°C,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 3 3300X,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,Boxed Processor,,,,20-May,4,8,,,3.8GHz,Up to 4.3GHz,256KB,2MB,16MB,Yes,TSMC 7nm FinFET,AM4,PCIe® 4.0,Wraith Stealth,,65W,,,,3200MHz,DDR4,,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
Ryzen™ 3 3100,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,Boxed Processor,,,,20-May,4,8,,,3.6GHz,Up to 3.9GHz,256KB,2MB,16MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,Wraith Stealth,,65W,,,,3200MHz,DDR4,,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
Ryzen™ 5 3500 Processor (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,100-000000050,,,,6,6,,,3.6GHz,Up to 4.1GHz,384KB,3MB,16MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,,,65W,,95°C,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 5 3400G with Radeon™ RX Vega 11 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Boxed Processor,YD3400C5M4MFH,YD3400C5FHBOX,YD3400C5FHMPK,7/7/2019,4,8,11,,3.7GHz,Up to 4.2GHz,384KB,2MB,4MB,Yes,12nm FinFET,AM4,PCIe® 3.0 x8,Wraith Spire,Wraith Spire,65W,45-65W,95°C,,2933MHz,DDR4,2,1400 MHz,Radeon™ RX Vega 11 Graphics,11,,Yes,Yes
Ryzen™ 5 3400GE,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Desktop,YD3400C6M4MFH,,,7/7/2019,4,8,11,,3.3GHz,Up to 4.0GHz,384KB,2MB,4MB,Yes,12nm,AM4,PCIe® 3.0,,,35W,,95°C,,2933MHz,,2,1300 MHz,Radeon™ Vega 11 Graphics,11,,Yes,Yes
Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Boxed Processor,YD3200C5M4MFH,YD3200C5FHBOX,YD3200C5FHMPK,7/7/2019,4,4,8,,3.6GHz,Up to 4.0GHz,384KB,2MB,4MB,Yes,12nm FinFET,AM4,PCIe® 3.0 x8,Wraith Stealth,Wraith Stealth,65W,45-65W,95°C,,2933MHz,DDR4,2,1250 MHz,Radeon™ Vega 8 Graphics,8,,Yes,Yes
Ryzen™ 3 3200GE,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Desktop,YD3200C6M4MFH,,,7/7/2019,4,4,8,,3.3GHz,Up to 3.8GHz,384KB,2MB,4MB,Yes,12nm,AM4,PCIe® 3.0,,,35W,,95°C,,2933MHz,,2,1200 MHz,Radeon™ Vega 8 Graphics,8,,Yes,Yes
Athlon™ 320GE,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Desktop,YD32GEC6M2OFH,YD32GEC6FHBOX,,7/7/2019,2,4,3,,3.5GHz,,192KB,1MB,4MB,Yes,14nm FinFET,AM4,PCIe® 3.0,,,35W,,95°C,,2667MHz,DDR4,2,1100 MHz,Radeon™ Vega 3 Graphics,3,,Yes,Yes
Athlon™ 300GE,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Desktop,YD30GEC6M2OFH,,,7/7/2019,2,4,3,,3.4GHz,,192KB,1MB,4MB,Yes,14nm,AM4,PCIe® 3.0,,,35W,,95°C,,2667MHz,,2,1100 MHz,Radeon™ Vega 3 Graphics,3,,Yes,Yes
Ryzen™ Threadripper™ 2990WX,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD299XAZUIHAF,YD299XAZAFWOF,,8/13/2018,32,64,,,3.0GHz,Up to 4.2GHz,3072KB,16MB,64MB,Yes,12nm,sTR4,PCIe 3.0,Not included,,250W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ Threadripper™ 2970WX,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD297XAZUHCAF,YD297XAZAFWOF,,18-Oct,24,48,,,3.0GHz,Up to 4.2GHz,2304KB,12MB,64MB,Yes,12nm,sTR4,PCIe 3.0,Not included,,250W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ Threadripper™ 2950X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD295XA8UGAAF,YD295XA8AFWOF,,8/31/2018,16,32,,,3.5GHz,Up to 4.4GHz,1536KB,8MB,32MB,Yes,12nm,sTR4,PCIe 3.0,Not included,,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ Threadripper™ 2920X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD292XA8UC9AF,YD292XA8AFWOF,,18-Oct,12,24,,,3.5GHz,Up to 4.3GHz,1152KB,6MB,32MB,Yes,12nm,sTR4,PCIe 3.0,Not included,,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ 7 2700X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,YD270XBGM88AF,YD270XBGAFBOX,YD270XBGAFMPK,4/19/2018,8,16,,,3.7GHz,Up to 4.3GHz,768KB,4MB,16MB,Yes,12nm FinFET,AM4,PCIe 3.0 x16,Wraith Prism with RGB LED,Wraith PRISM,105W,,85°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,2,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD SenseMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
Ryzen™ 7 2700,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,YD2700BBM88AF,YD2700BBAFBOX,YD2700BBAFMPK,4/19/2018,8,16,,,3.2GHz,Up to 4.1GHz,768KB,4MB,16MB,Yes,12nm FinFET,AM4,PCIe 3.0 x16,Wraith Spire with RGB LED,Wraith Spire,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,2,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD SenseMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
Ryzen™ 7 2700E Processor,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,YD270EBHM88AF,,YD270EBHAFMPK,18-Sep,8,16,,,2.8GHz,Up to 4.0GHz,768KB,4MB,16MB,Yes,12nm,AM4,PCIe 3.0,Not included,Wraith Stealth,45W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2667MHz,DDR4,2,,Discrete Graphics Card Required,,"AMD GuardMI Technology, AMD StoreMI Technology, AMD SenseMI Technology, AMD Zen Core Architecture, DASH 1.2",,
Ryzen™ 5 2600X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,YD260XBCM6IAF,YD260XBCAFBOX,YD260XBCAFMPK,4/19/2018,6,12,,,3.6GHz,Up to 4.2GHz,576KB,3MB,16MB,Yes,12nm FinFET,AM4,PCIe 3.0 x16,Wraith Spire,Wraith Spire,95W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,2,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD SenseMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
Ryzen™ 5 2600,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,YD2600BBM6IAF,YD2600BBAFBOX,YD2600BBAFMPK,4/19/2018,6,12,,,3.4GHz,Up to 3.9GHz,576KB,3MB,16MB,Yes,12nm FinFET,AM4,PCIe 3.0 x16,Wraith Stealth,Wraith Stealth,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,2,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD SenseMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
Ryzen™ 5 2600E,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,YD260EBHM6IAF,,YD260EBHAFMPK,18-Sep,6,12,,,3.1GHz,Up to 4.0GHz,578KB,3MB,16MB,Yes,12nm,AM4,PCIe 3.0,Not included,Wraith Stealth,45W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2667MHz,DDR4,2,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD SenseMI Technology, AMD Zen Core Architecture",,
Ryzen™ 5 2500X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,YD250XBBM4KAF,,YD250XBBAFMPK,9/10/2018,4,8,,,3.6GHz,Up to 4.0GHz,384KB,2MB,8MB,Yes,12nm,AM4,PCIe 3.0,Not included,Wraith Stealth,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 5 2400G with Radeon™ RX Vega 11 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Boxed Processor,YD2400C5M4MFB,YD2400C5FBBOX,YD2400C5FBMPK,2/12/2018,4,8,11,,3.6GHz,Up to 3.9GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,PCIe® 3.0 x8,Wraith Stealth,,65W,46-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,2,1250 MHz,Radeon™ RX Vega 11 Graphics,11,"AMD SenseMI Technology, AMD VR Ready Processors, AMD Ryzen™ Master Utility, Enmotus FuzeDrive™ for AMD Ryzen™, AMD Radeon™ Software, AMD FreeSync™ Technology",Yes,Yes
Ryzen™ 5 2400GE with Radeon™ RX Vega 11 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Desktop,YD2400C6M4MFB,,YD2400C6FBMPK,4/19/2018,4,8,11,,3.2GHz,Up to 3.8GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,PCIe® 3.0 x8,Not included,Wraith Stealth,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,2,1250 MHz,Radeon™ RX Vega 11 Graphics,11,"AMD VR Ready Processors, AMD Ryzen™ Master Utility, DirectX® 12 Technology",Yes,Yes
Ryzen™ 3 2300X,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,Desktop,YD230XBBM4KAF,,YD230XBBAFMPK,9/10/2018,4,4,,,3.5GHz,Up to 4.0GHz,384KB,2MB,8MB,Yes,12nm,AM4,PCIe 3.0,Not included,Wraith Stealth,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 3 2200G with Radeon™ Vega 8 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Boxed Processor,YD2200C5M4MFB,YD2200C5FBBOX,YD2200C5FBMPK,2/12/2018,4,4,8,,3.5GHz,Up to 3.7GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,PCIe® 3.0 x8,Wraith Stealth,Wraith Stealth,65W,46-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2993MHz,DDR4,2,1100 MHz,Radeon™ Vega 8 Graphics,8,"AMD SenseMI Technology, AMD VR Ready Processors, AMD Ryzen™ Master Utility, Enmotus FuzeDrive™ for AMD Ryzen™, AMD Radeon™ Software, AMD FreeSync™ Technology",Yes,Yes
Ryzen™ 3 2200GE with Radeon™ Vega 8 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Desktop,YD2200C6M4MFB,,YD2200C6FBMPK,4/19/2018,4,4,8,,3.2GHz,Up to 3.6GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,PCIe® 3.0 x8,Not included,Wraith Stealth,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2933MHz,DDR4,2,1100 MHz,Radeon™ Vega 8 Graphics,8,"AMD VR Ready Processors, AMD Ryzen™ Master Utility, DirectX® 12 Technology",Yes,Yes
Ryzen™ Threadripper™ 1950X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD195XA8UGAAE,YD195XA8AEWOF,,7/31/2017,16,32,,,3.4GHz,Up to 4.0GHz,1536KB,8MB,32MB,Yes,14nm,sTR4,PCIe 3.0,Not included,,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2667MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX2, FMA3",,
Ryzen™ Threadripper™ 1920X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD192XA8UC9AE,YD192XA8AEWOF,,7/31/2017,12,24,,,3.5GHz,Up to 4.0GHz,1152KB,6MB,32MB,Yes,14nm,sTR4,PCIe 3.0,Not included,,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2667MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX2, FMA3",,
Ryzen™ Threadripper™ 1900X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD190XA8U8QAE,YD190XA8AEWOF,,8/31/2017,8,16,,,3.8GHz,Up to 4.0GHz,768KB,4MB,16MB,Yes,14nm,sTR4,PCIe 3.0,Not included,,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2667MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Ryzen™ VR-Ready Premium, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX2, XFR (Extended Frequency Range)",,
